code,nameAr,coreStatus,coreAcademicYear,coreGrades,coreLessons,nationalMatchingStatus,verificationStatus,nationalComplete,sourceCount,verifiedPackCount,publicationReadiness,missingEvidence
"AE","الإمارات العربية المتحدة","LIVE","2026-2027","12","216","not-closed","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"BH","مملكة البحرين","LIVE","2026-2027","12","216","partial","candidate","false","1","4","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"DJ","جيبوتي","LIVE","2026-2027","12","216","not-closed","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"DZ","الجزائر","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"EG","مصر","LIVE","2026-2027","12","216","partial","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"IQ","العراق","LIVE","2026-2027","12","216","not-closed","candidate","false","4","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"JO","الأردن","LIVE","2026-2027","12","216","partial","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"KM","جزر القمر","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"KW","الكويت","LIVE","2026-2027","12","216","not-closed","candidate","false","1","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
"LB","لبنان","LIVE","2026-2027","12","216","not-closed","candidate","false","2","0","CORE_LIVE_NATIONAL_MATCH_PENDING","اكتمال تغطية الصفوف/المراحل المطلوبة بالمصدر الوطني | اكتمال تغطية الفصول/الفترات الدراسية | تسلسل الوحدات والدروس/الموضوعات بدليل قابل للتدقيق | إثبات أن جميع الخلايا المنشورة كمطابقة وطنية مدعومة وليست مستنتجة | توثيق مصدر/حقوق الاستخدام لكل بنية وطنية منشورة"
